,SPY,QQQ,DIA,XLF,VGT,Time
0,0.00711714829652,0.0138074685471,0.0111917453267,0.0102959917789,0.0207510871687,week1
1,0.0320709801978,0.0317892486767,0.0343315939037,0.0437580304594,0.0392930385862,week2
2,0.0387488398773,0.0476036873684,0.0486748400265,0.0557699627356,0.0559413846721,week3
3,0.0467885059142,0.0551498465071,0.0667215927508,0.0827970392538,0.0641471141436,week4
4,0.040594009719,0.0495303706063,0.0545387692814,0.0604889844006,0.0582295147148,week5
5,0.0477110236546,0.0604480613705,0.0594422822296,0.0613469328496,0.0683288574954,week6
6,0.0326338898377,0.0513111910616,0.0454542959904,0.0126050145382,0.0635157022893,week7
7,0.0426059259669,0.0638601455391,0.0449476697023,0.0169102345603,0.072328376286,week8
8,0.038855450805,0.0616077539314,0.0446944699297,0.0104523391281,0.0653663481925,week9
9,0.025927052982,0.0531612327474,0.0417061261735,-0.00117199472796,0.05539774248,week10
10,0.0351047741017,0.0665953440917,0.0418580439757,0.007438663313,0.0720911221729,week11
11,0.0505040561888,0.0920153727675,0.0623486120162,0.0229377169886,0.0964585236492,week12
12,0.0576522329053,0.102392279249,0.060472994016,0.0281039810151,0.109749835721,week13
13,0.0544752684616,0.112447811283,0.0609293761192,0.0186323661685,0.12383238308,week14
14,0.0515189694695,0.104162106936,0.0491682585356,-0.00332462653868,0.113389157455,week15
15,0.0665211298815,0.134006688626,0.070664849143,0.0169102345603,0.146855046752,week16
16,0.0765814590635,0.154037028344,0.0774272320298,0.00959129512372,0.162678188888,week17
17,0.0738016118162,0.126042739464,0.0812913035865,0.0457558408989,0.13680743877,week18
18,0.0848022212551,0.114349155257,0.0878220375911,0.0497552985227,0.124307122657,week19
19,0.0787276601143,0.139273885573,0.0887389656233,0.0324682345873,0.149861257401,week20
20,0.0739391795048,0.11023546997,0.0861920646993,0.0661779177027,0.117451483967,week21
21,0.0738504072312,0.118462953956,0.0900124160853,0.0813040659467,0.132447236289,week22
22,0.0892360875124,0.14693684997,0.101371410132,0.073524935135,0.165294741168,week23
23,0.0970398470883,0.167747773486,0.0968128608747,0.0765501211845,0.18116305253,week24
24,0.0965964604626,0.155325644941,0.115221479949,0.0843292955955,0.16362864131,week25
25,0.0963304123638,0.166053728669,0.126184951772,0.0955658566339,0.176958054446,week26
26,0.093004943251,0.160971942549,0.121697558587,0.0834649380388,0.177116665283,week27
27,0.088260680827,0.137741265152,0.107917634806,0.0609917723624,0.158312753095,week28
28,0.0856447091405,0.148711368012,0.114051743791,0.065313560146,0.175291834924,week29
29,0.0947341372074,0.167102416136,0.112671507688,0.0475943392319,0.188779978561,week30
30,0.109233115896,0.179443706922,0.131840581519,0.0722283334009,0.206552609185,week31
31,0.114247802107,0.178630120514,0.145241107595,0.0957952329318,0.209884928564,week32
32,0.11420324354,0.15736938456,0.140682321288,0.101870936266,0.185606142377,week33
33,0.128061199617,0.179357555045,0.15886644419,0.135721183758,0.215832954596,week34
34,0.136349209459,0.193181030748,0.169213437901,0.144400859605,0.233814710282,week35
35,0.13946829121,0.204821708711,0.17735794298,0.135721183758,0.248136338627,week36
36,0.137552259408,0.196333784401,0.201049632458,0.163495815114,0.256172496026,week37
37,0.147355287389,0.229962632849,0.197666317876,0.154382281913,0.298739792948,week38
38,0.154573851323,0.243947913685,0.206842400487,0.144834716959,0.314891484963,week39
39,0.142676561753,0.239339918334,0.200998445228,0.133117385642,0.308685391234,week40
40,0.157470216378,0.257043703733,0.211329633922,0.143966871453,0.330724854395,week41
41,0.180863925173,0.243786108552,0.230291114241,0.186496707593,0.302081486018,week42
42,0.176675258676,0.24087587628,0.241596169223,0.204289785844,0.29141976164,week43
43,0.183760151389,0.261004851189,0.265644927375,0.209497556473,0.31409586199,week44
44,0.198409959191,0.276117073102,0.27250874683,0.215986451059,0.331941774937,week45
45,0.195185287656,0.269636418666,0.277968115061,0.225578400173,0.321012361865,week46
46,0.226805021113,0.31167952286,0.301608457559,0.238658168277,0.368160067229,week47
47,0.240464996344,0.33249860387,0.328338972028,0.274409653599,0.383556798148,week48
48,0.268770403689,0.361904382094,0.350048422769,0.298389351987,0.414988596406,week49
